Model,Price,Range,Charging_time,Top_speed,Motor_type,Battery_type,Battery_capacity,Wheels_type,Tyre_type
Komaki MX3,0.95,100,,,BLDC,Lithium Ion,,Alloy,Tubeless
Joy e-bike Beast,2.42,110,,90,DC Brushless,Lithium Ion (Fixed Type),5.184,Alloy,Tubeless
Joy e-bike Thunderbolt,2.33,110,,90,DC Brushless Hub Motor,Lithium Ion (Fixed Type),5.184,Alloy,Tubeless
Joy e-bike Hurricane,2.33,80,,90,DC Brushless,Lithium Ion (Fixed Type),4.752,Alloy,Tubeless
Cyborg Yoda,1.84,150,,90,BLDC,BMS Battery,3.24 kWh,Alloy,Tube
Cyborg Bob-e,0.95,110,,85,BLDC,BMS Battery,2.88 kWH,Alloy,Tubeless
Hop Oxo,1.64,150,5 Hours,95,BLDC Hub motor,Lithium-ion,3.75 Kwh,Alloy,Tubeless
Komaki XGT Classic,1.11,105,,,BLDC,Lithium Ion,,Alloy,
PURE EV eTryst 350,1.49,140,,85,BLDC,Lithium Ion,3.5 kwh,Alloy,Tubeless
Atumobile AtumVader,1,100,,65,BLDC,Lithium Ion,2.3 kwh,Spoke,Tube
